"Neighbourhood","Neighbourhood Id","Combined Indicators","Total Population","Pop - Males","Pop - Females","Child 0-14","Youth 15-24","Pop 15 - 64 years","   Chinese","   Language - Chinese","   Language - Italian","Total Area","Healthy Food Index","Heritage Sites","Hospital Readmissions","Seniors Living Alone","911 Calls Made by Seniors"
"West Humber-Clairville",1.0,"N/A",33312.0,16625.0,16690.0,5060.0,5445.0,23285.0,470.0,370.0,320.0,30.09,23.82,3.0,0.99,160.0,994.0
"Mount Olive-Silverstone-Jamestown",2.0,"N/A",32954.0,16070.0,16890.0,7090.0,5240.0,22300.0,285.0,170.0,350.0,4.6,37.57,1.0,0.81,195.0,740.0
"Thistletown-Beaumond Heights",3.0,"N/A",10360.0,5055.0,5300.0,1730.0,1410.0,6760.0,110.0,75.0,275.0,3.4,42.26,6.0,0.97,105.0,368.0
"Rexdale-Kipling",4.0,"N/A",10529.0,5130.0,5395.0,1640.0,1355.0,7165.0,165.0,70.0,145.0,2.5,23.31,1.0,0.95,115.0,304.0
"Elms-Old Rexdale",5.0,"N/A",9456.0,4520.0,4935.0,1805.0,1440.0,6370.0,105.0,70.0,190.0,2.9,24.71,0.0,0.95,60.0,385.0
"Kingsview Village-The Westway",6.0,"N/A",22000.0,10575.0,11420.0,4240.0,3020.0,14175.0,410.0,195.0,480.0,5.1,35.69,3.0,0.99,210.0,770.0
"Willowridge-Martingrove-Richview",7.0,"N/A",22156.0,10635.0,11515.0,3555.0,2625.0,13690.0,515.0,245.0,545.0,5.5,30.46,3.0,0.83,320.0,1055.0
"Humber Heights-Westmount",8.0,"N/A",10948.0,4895.0,6060.0,1450.0,1140.0,6445.0,100.0,20.0,375.0,2.8,32.82,8.0,1.09,215.0,795.0
"Edenbridge-Humber Valley",9.0,"N/A",15535.0,7305.0,8235.0,2120.0,1805.0,10125.0,370.0,145.0,195.0,5.5,46.41,6.0,0.9,200.0,878.0
"Princess-Rosethorn",10.0,"N/A",11051.0,5430.0,5620.0,1770.0,1580.0,7250.0,500.0,200.0,50.0,5.2,39.52,3.0,0.81,80.0,297.0
"Eringate-Centennial-West Deane",11.0,"N/A",18588.0,8915.0,9670.0,2635.0,2405.0,12190.0,790.0,380.0,155.0,8.6,10.43,3.0,0.63,160.0,717.0
"Markland Wood",12.0,"N/A",10554.0,4920.0,5635.0,1340.0,1165.0,6505.0,260.0,160.0,35.0,2.9,7.99,0.0,0.89,220.0,352.0
"Etobicoke West Mall",13.0,"N/A",11848.0,5630.0,6220.0,1695.0,1460.0,8090.0,335.0,165.0,50.0,1.7,15.41,2.0,0.7,110.0,316.0
"Islington-City Centre West",14.0,"N/A",43965.0,20950.0,23020.0,5820.0,4695.0,30730.0,1875.0,785.0,315.0,16.4,31.01,25.0,0.95,535.0,1717.0
"Kingsway South",15.0,"N/A",9271.0,4340.0,4930.0,1580.0,1100.0,5690.0,300.0,40.0,25.0,2.6,43.15,19.0,1.18,90.0,383.0
"Stonegate-Queensway",16.0,"N/A",25051.0,12255.0,12795.0,4060.0,2495.0,16810.0,565.0,205.0,260.0,7.9,31.23,19.0,0.63,270.0,768.0
"Mimico",17.0,"N/A",33964.0,16525.0,17430.0,3505.0,3010.0,25300.0,1635.0,610.0,190.0,6.9,21.59,64.0,1.01,605.0,1175.0
"New Toronto",18.0,"N/A",11463.0,5560.0,5750.0,1610.0,1390.0,8170.0,340.0,120.0,20.0,3.5,24.84,69.0,1.19,200.0,399.0
"Long Branch",19.0,"N/A",10084.0,5010.0,5070.0,1335.0,1130.0,7340.0,200.0,80.0,10.0,2.3,28.08,69.0,1.04,135.0,242.0
"Alderwood",20.0,"N/A",12054.0,5885.0,6165.0,1760.0,1235.0,8275.0,275.0,115.0,210.0,5.0,11.41,3.0,0.86,170.0,364.0
"Humber Summit",21.0,"N/A",12416.0,6035.0,6385.0,2155.0,1720.0,7890.0,135.0,70.0,1145.0,7.9,32.33,0.0,1.09,65.0,554.0
"Humbermede",22.0,"N/A",15545.0,7475.0,8070.0,2945.0,2225.0,10440.0,375.0,190.0,615.0,4.4,20.52,1.0,0.95,45.0,320.0
"Pelmo Park-Humberlea",23.0,"N/A",10722.0,5165.0,5560.0,1745.0,1370.0,7395.0,230.0,170.0,590.0,4.2,21.71,0.0,1.18,55.0,304.0
"Black Creek",24.0,"N/A",21737.0,10145.0,11595.0,4600.0,3290.0,14265.0,765.0,485.0,590.0,3.4,41.84,2.0,1.03,220.0,764.0
"Glenfield-Jane Heights",25.0,"N/A",30491.0,14250.0,16245.0,5790.0,4520.0,19690.0,1170.0,955.0,1875.0,5.2,41.05,0.0,1.08,305.0,1150.0
"Downsview-Roding-CFB",26.0,"N/A",35052.0,16835.0,18225.0,5725.0,4340.0,23780.0,780.0,510.0,2295.0,14.9,23.72,18.0,1.07,415.0,1189.0
"York University Heights",27.0,"N/A",27593.0,13650.0,13940.0,4045.0,4750.0,20015.0,1500.0,1140.0,995.0,13.2,47.0,224.0,1.1,230.0,756.0
"Rustic",28.0,"N/A",9941.0,4450.0,5485.0,1940.0,1405.0,6140.0,135.0,80.0,670.0,2.1,16.55,0.0,1.34,145.0,530.0
"Maple Leaf",29.0,"N/A",10111.0,4850.0,5260.0,1500.0,1265.0,6585.0,140.0,80.0,995.0,2.5,14.42,1.0,0.86,90.0,440.0
"Brookhaven-Amesbury",30.0,"N/A",17757.0,8225.0,9535.0,3360.0,2460.0,12270.0,450.0,325.0,445.0,3.5,43.1,0.0,0.81,140.0,408.0
"Yorkdale-Glen Park",31.0,"N/A",14804.0,6865.0,7945.0,1960.0,1870.0,9535.0,850.0,500.0,1165.0,5.9,21.66,6.0,1.35,150.0,869.0
"Englemount-Lawrence",32.0,"N/A",22372.0,9860.0,12515.0,4805.0,3030.0,13850.0,390.0,185.0,185.0,3.6,43.98,4.0,1.11,425.0,1040.0
"Clanton Park",33.0,"N/A",16472.0,7815.0,8660.0,2765.0,1910.0,11325.0,500.0,230.0,250.0,4.2,19.35,1.0,0.84,180.0,417.0
"Bathurst Manor",34.0,"N/A",15873.0,7510.0,8370.0,2325.0,1940.0,10605.0,655.0,285.0,315.0,4.8,18.8,1.0,0.94,325.0,797.0
"Westminster-Branson",35.0,"N/A",26274.0,12060.0,14215.0,3440.0,3355.0,17710.0,775.0,430.0,35.0,3.7,24.63,3.0,1.17,575.0,755.0
